13143 10573 12559 14099 10207 13224 12933  8692 10772 12103  8283 10059 12536  9251 11419 13099  9947 12442 12983 10252 11009 12860 10017 11777 10770  7656 10226 
    x     x     x     x     x     x     x     x     x     x     x     x 10087 12779 10867  9630 13689 10478 11016 12902 10124 10365 11768 10646  9024     x     x 
    x     x     x     x     x     x     x     x     x     x     x     x 11762 10800 10478 13156 10472  9912 13468 10549  9396 11637  9396  8207     x     x     x 
    x     x     x     x     x     x     x     x     x     x     x 12041 10109  9523 11215  9353  9084 14220 10862  9728 12427 10030  9465     x     x     x     x 
    x     x     x     x     x     x     x     x     x     x 11998 10312  8925 10940  9345  7670 13659 10899 10651 14052 11162 10085     x     x     x     x     x 
    x     x     x     x     x     x     x     x     x 11833  9386  8562 10087  8519  8106 12904 10090 10005 13562 10774  9677     x     x     x     x     x     x 
    x     x     x     x     x     x     x     x 11885  9498  9642 12634 11312 10655 12600 10488 10976 13631 10550 10089     x     x     x     x     x     x     x 
    x     x     x     x     x     x  9933 13876 10576 10837 12428 10200  9411 12459 10212 10174 11927  9656  9003     x     x     x     x 11410     x 10554 12679 
 9707 11065 11571  8448 10443 11836  9201  9209 13825 10891 11871 13830 11445 12612 12647 10974 11793 11689  9652 11043     x     x     x 12312  9981 11089 13016 
